Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"POST /admin/chats/conversation/add/?_to_field=conversation_id&_popup=1 HTTP/1.1" 200 404
"POST /admin/chats/message/add/ HTTP/1.1" 302 0
"GET /admin/chats/message/ HTTP/1.1" 200 13759
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"POST /admin/chats/message/ HTTP/1.1" 302 0
"GET /admin/chats/message/ HTTP/1.1" 200 13677
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
Watching for file changes with StatReloader
Not Found: /
"GET / HTTP/1.1" 404 2463
"GET /admin/chats/message/ HTTP/1.1" 200 13484
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\chats\urls.py changed, reloading.
Watching for file changes with StatReloader
Not Found: /
"GET / HTTP/1.1" 404 2463
Not Found: /
"GET / HTTP/1.1" 404 2463
"GET /admin HTTP/1.1" 301 0
"GET /admin/ HTTP/1.1" 200 11077
Not Found: /
"GET / HTTP/1.1" 404 2463
C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\chats\views.py changed, reloading.
Watching for file changes with StatReloader
Not Found: /
"GET / HTTP/1.1" 404 2463
C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\messaging_app\urls.py changed, reloading.
Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 622
"GET /admin/ HTTP/1.1" 200 11077
Method Not Allowed: /api/token/
"GET /api/token/ HTTP/1.1" 405 7769
"GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
"GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
"GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
"GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
"GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
"GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
"GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
"GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
"GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
"GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
"GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
"GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
"GET /api/users/ HTTP/1.1" 200 17501
